"","CountryCode","Ranking","Long Name","GDP"
"1","USA",1,"United States"," 16,244,600 "
"2","CHN",2,"China"," 8,227,103 "
"3","JPN",3,"Japan"," 5,959,718 "
"4","DEU",4,"Germany"," 3,428,131 "
"5","FRA",5,"France"," 2,612,878 "
"6","GBR",6,"United Kingdom"," 2,471,784 "
"7","BRA",7,"Brazil"," 2,252,664 "
"8","RUS",8,"Russian Federation"," 2,014,775 "
"9","ITA",9,"Italy"," 2,014,670 "
"10","IND",10,"India"," 1,841,710 "
"11","CAN",11,"Canada"," 1,821,424 "
"12","AUS",12,"Australia"," 1,532,408 "
"13","ESP",13,"Spain"," 1,322,965 "
"14","MEX",14,"Mexico"," 1,178,126 "
"15","KOR",15,"Korea, Rep."," 1,129,598 "
"16","IDN",16,"Indonesia"," 878,043 "
"17","TUR",17,"Turkey"," 789,257 "
"18","NLD",18,"Netherlands"," 770,555 "
"19","SAU",19,"Saudi Arabia"," 711,050 "
"20","CHE",20,"Switzerland"," 631,173 "
"21","SWE",21,"Sweden"," 523,806 "
"22","IRN",22,"Iran, Islamic Rep."," 514,060 "
"23","NOR",23,"Norway"," 499,667 "
"24","POL",24,"Poland"," 489,795 "
"25","BEL",25,"Belgium"," 483,262 "
"26","ARG",26,"Argentina"," 475,502 "
"27","AUT",27,"Austria"," 394,708 "
"28","ZAF",28,"South Africa"," 384,313 "
"29","VEN",29,"Venezuela, RB"," 381,286 "
"30","COL",30,"Colombia"," 369,606 "
"31","THA",31,"Thailand"," 365,966 "
"32","ARE",32,"United Arab Emirates"," 348,595 "
"33","DNK",33,"Denmark"," 314,887 "
"34","MYS",34,"Malaysia"," 305,033 "
"35","SGP",35,"Singapore"," 274,701 "
"36","CHL",36,"Chile"," 269,869 "
"37","HKG",37,"Hong Kong SAR, China"," 263,259 "
"38","EGY",38,"Egypt, Arab Rep."," 262,832 "
"39","NGA",39,"Nigeria"," 262,597 "
"40","ISR",40,"Israel"," 258,217 "
"41","PHL",41,"Philippines"," 250,182 "
"42","GRC",42,"Greece"," 249,099 "
"43","FIN",43,"Finland"," 247,546 "
"44","PAK",44,"Pakistan"," 225,143 "
"45","PRT",45,"Portugal"," 212,274 "
"46","IRL",46,"Ireland"," 210,771 "
"47","IRQ",47,"Iraq"," 210,280 "
"48","DZA",48,"Algeria"," 205,789 "
"49","PER",49,"Peru"," 203,790 "
"50","KAZ",50,"Kazakhstan"," 203,521 "
"51","CZE",51,"Czech Republic"," 196,446 "
"52","ROM",52,"Romania"," 192,711 "
"53","UKR",53,"Ukraine"," 176,309 "
"54","QAT",54,"Qatar"," 171,476 "
"55","NZL",55,"New Zealand"," 167,347 "
"56","KWT",56,"Kuwait"," 160,913 "
"57","VNM",57,"Vietnam"," 155,820 "
"58","HUN",58,"Hungary"," 124,600 "
"59","BGD",59,"Bangladesh"," 116,355 "
"60","AGO",60,"Angola"," 114,147 "
"61","PRI",61,"Puerto Rico"," 101,496 "
"62","MAR",62,"Morocco"," 95,982 "
"63","SVK",63,"Slovak Republic"," 91,149 "
"64","ECU",64,"Ecuador"," 84,040 "
"65","SYR",65,"Syrian Arab Republic"," 73,672 "
"66","OMN",66,"Oman"," 69,972 "
